"rts_id","rts_title","rts_scoring_price","rts_scoring_provider_change","rts_scoring_service","rts_date_of_order","rts_date_of_change","rts_provider"
1,"Kunde würde wieder zu diesem Anbieter wechseln.","100","80","100","Mai 2024","Juni 2024","Stadtwerke Karlsruhe"
2,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","April 2024","Juni 2024","Stadtwerke Karlsruhe"
3,"Kunde würde wieder zu diesem Anbieter wechseln.","80","100","100","April 2024","Juni 2024","Stadtwerke Karlsruhe"
4,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","April 2024","Mai 2024","Stadtwerke Karlsruhe"
5,"Kunde würde wieder zu diesem Anbieter wechseln.","100","100","100","April 2024","Mai 2024","Stadtwerke Karlsruhe"
6,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","April 2024","Mai 2024","Stadtwerke Karlsruhe"
7,"Kunde würde wieder zu diesem Anbieter wechseln.","100","100","100","März 2024","Mai 2024","Stadtwerke Karlsruhe"
8,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","März 2024","Mai 2024","Stadtwerke Karlsruhe"
9,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","März 2024","April 2024","Stadtwerke Karlsruhe"
10,"Kunde würde wieder zu diesem Anbieter wechseln.","80","100","100","März 2024","April 2024","Stadtwerke Karlsruhe"
11,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","März 2024","April 2024","Stadtwerke Karlsruhe"
12,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","März 2024","April 2024","Stadtwerke Karlsruhe"
13,"Kunde würde wieder zu diesem Anbieter wechseln.","80","100","100","Februar 2024","März 2024","Stadtwerke Karlsruhe"
14,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","Januar 2024","März 2024","Stadtwerke Karlsruhe"
15,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","Januar 2024","März 2024","Stadtwerke Karlsruhe"
16,"Kunde würde nicht wieder zu diesem Anbieter wechseln.","60","20","20","Dezember 2023","Februar 2024","Stadtwerke Karlsruhe"
17,"Kunde würde wieder zu diesem Anbieter wechseln.","100","100","100","Dezember 2023","Januar 2024","Stadtwerke Karlsruhe"
18,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","November 2023","Januar 2024","Stadtwerke Karlsruhe"
19,"Kunde würde wieder zu diesem Anbieter wechseln.","0","0","0","Oktober 2023","Dezember 2023","Stadtwerke Karlsruhe"
